iter	Passed	Remaining
0	137	137745
1	146	73187
2	156	52018
3	164	40886
4	168	33448
5	175	29070
6	179	25524
7	184	22887
8	188	20791
9	192	19010
10	194	17528
11	197	16296
12	200	15195
13	202	14276
14	205	13472
15	207	12775
16	210	12151
17	212	11598
18	214	11100
19	217	10649
20	219	10246
21	222	9871
22	224	9522
23	226	9206
24	228	8918
25	230	8649
26	233	8405
27	235	8174
28	237	7962
29	240	7766
30	242	7581
31	244	7406
32	246	7236
33	249	7083
34	251	6932
35	253	6792
36	256	6664
37	258	6542
38	260	6421
39	262	6308
40	265	6199
41	267	6099
42	269	6001
43	271	5907
44	274	5816
45	276	5732
46	278	5650
47	280	5570
48	283	5496
49	285	5424
50	287	5353
51	289	5286
52	292	5221
53	294	5158
54	296	5096
55	298	5039
56	301	4985
57	304	4942
58	306	4889
59	308	4840
60	311	4793
61	313	4749
62	316	4705
63	318	4660
64	320	4615
65	323	4571
66	325	4532
67	327	4492
68	329	4452
69	332	4412
70	334	4375
71	336	4338
72	338	4303
73	341	4269
74	343	4238
75	345	4206
76	348	4174
77	350	4142
78	352	4112
79	355	4083
80	357	4052
81	359	4023
82	361	3995
83	363	3969
84	366	3941
85	368	3918
86	371	3893
87	373	3868
88	375	3842
89	377	3816
90	379	3791
91	381	3768
92	384	3747
93	386	3726
94	388	3705
95	391	3683
96	393	3661
97	395	3640
98	397	3620
99	400	3600
100	402	3580
101	404	3562
102	406	3543
103	409	3524
104	411	3504
105	413	3486
106	415	3468
107	417	3450
108	419	3432
109	422	3416
110	424	3399
111	426	3382
112	428	3366
113	431	3350
114	433	3335
115	435	3319
116	437	3303
117	439	3288
118	442	3275
119	444	3262
120	447	3250
121	449	3237
122	452	3224
123	454	3210
124	456	3197
125	459	3184
126	461	3170
127	463	3156
128	465	3143
129	467	3130
130	470	3118
131	472	3107
132	474	3094
133	477	3082
134	479	3070
135	481	3060
136	483	3048
137	486	3037
138	488	3026
139	490	3016
140	493	3004
141	495	2993
142	497	2981
143	499	2971
144	502	2961
145	504	2950
146	506	2940
147	508	2930
148	511	2919
